queue,metric,baseline,improved,delta_absolute,delta_percent
F1,L (population),1.053,1.055,0.002,0.2%
F1,rho (utilization),0.521,0.522,0.001,0.2%
F1,X (throughput per min),0.521,0.522,0.001,0.2%
F1,W (response time min),2.020,2.021,0.001,0.0%
F1,losses,0,0,0,—
F2,L (population),4.445,2.539,-1.906,-42.9%
F2,rho (utilization),0.988,0.760,-0.228,-23.1%
F2,X (throughput per min),0.329,0.380,0.051,15.4%
F2,W (response time min),13.504,6.685,-6.819,-50.5%
F2,losses,9803,250,-9553,-97.5%
F3,L (population),1.109,1.137,0.028,2.6%
F3,rho (utilization),0.661,0.675,0.014,2.2%
F3,X (throughput per min),0.189,0.193,0.004,2.1%
F3,W (response time min),5.870,5.896,0.026,0.4%
F3,losses,125,123,-2,-1.6%
SYSTEM,L_total (population),6.607,4.732,-1.875,-28.4%
SYSTEM,X (exits per min),0.4488,0.4980,0.0492,11.0%
SYSTEM,W (response time min),14.720,9.502,-5.218,-35.4%
SYSTEM,total_losses,9928,373,-9555,-96.2%
