scenario,queue,state,time_accum_min,probability
baseline,F1,0,29982.5195,0.1545
baseline,F1,1,125857.9140,0.6487
baseline,F1,2,36171.1305,0.1864
baseline,F1,3,1935.1576,0.0100
baseline,F1,4,53.7676,0.0003
baseline,F1,5,0.5596,0.0000
baseline,F2,0,504.5745,0.0026
baseline,F2,1,3762.8628,0.0194
baseline,F2,2,11895.1703,0.0613
baseline,F2,3,24313.3665,0.1253
baseline,F2,4,47267.4379,0.2436
baseline,F2,5,64794.2637,0.3340
baseline,F2,6,41463.3731,0.2137
baseline,F3,0,65763.9473,0.3390
baseline,F3,1,70145.0599,0.3616
baseline,F3,2,36906.6916,0.1902
baseline,F3,3,14674.2390,0.0756
baseline,F3,4,5340.8209,0.0275
baseline,F3,5,1170.2901,0.0060
improved,F1,0,28796.5194,0.1550
improved,F1,1,120026.3865,0.6461
improved,F1,2,34911.9422,0.1879
improved,F1,3,1975.1979,0.0106
improved,F1,4,50.1706,0.0003
improved,F1,5,0.9349,0.0000
improved,F2,0,5276.1364,0.0284
improved,F2,1,29401.3481,0.1583
improved,F2,2,59228.8867,0.3188
improved,F2,3,54827.7764,0.2952
improved,F2,4,27258.0697,0.1467
improved,F2,5,8260.5699,0.0445
improved,F2,6,1508.3644,0.0081
improved,F3,0,60325.0357,0.3247
improved,F3,1,67813.4390,0.3651
improved,F3,2,36839.3095,0.1983
improved,F3,3,14525.7057,0.0782
improved,F3,4,5086.3142,0.0274
improved,F3,5,1171.3475,0.0063
